"phage"	"cov_category"
"67"	"1.164.O."	"cos_pattern"
"68"	"1.175.O."	"cos_pattern"
"69"	"1.181.O."	"cos_pattern"
"70"	"1.191.O."	"cos_pattern"
"71"	"1.201.B."	"cos_pattern"
"72"	"1.202.O."	"cos_pattern"
"73"	"1.209.O."	"cos_pattern"
"74"	"1.223.O."	"cos_pattern"
"75"	"1.246.O."	"cos_pattern"
"76"	"2.058.O."	"cos_pattern"
"77"	"3.058.O."	"cos_pattern"
"78"	"1.016.O."	"long_internal_peak"
"79"	"1.021.A."	"long_internal_peak"
"80"	"1.032.O."	"long_internal_peak"
"81"	"1.033.O."	"long_internal_peak"
"82"	"1.063.O."	"long_internal_peak"
"83"	"1.064.O."	"long_internal_peak"
"84"	"1.071.A."	"long_internal_peak"
"85"	"1.081.O."	"long_internal_peak"
"86"	"1.105.O."	"long_internal_peak"
"87"	"1.108.O."	"long_internal_peak"
"88"	"1.117.O."	"long_internal_peak"
"89"	"1.122.B."	"long_internal_peak"
"90"	"1.137.O."	"long_internal_peak"
"91"	"1.174.O."	"long_internal_peak"
"92"	"1.178.O."	"long_internal_peak"
"93"	"1.185.O."	"long_internal_peak"
"94"	"1.206.O."	"long_internal_peak"
"95"	"1.207.B."	"long_internal_peak"
"96"	"1.228.O."	"long_internal_peak"
"97"	"1.231.O."	"long_internal_peak"
"98"	"1.232.O."	"long_internal_peak"
"99"	"1.233.A."	"long_internal_peak"
"100"	"1.240.O."	"long_internal_peak"
"101"	"1.242.O."	"long_internal_peak"
"102"	"1.247.A."	"long_internal_peak"
"103"	"1.247.B."	"long_internal_peak"
"104"	"1.251.O."	"long_internal_peak"
"105"	"1.255.O."	"long_internal_peak"
"106"	"1.283.A."	"long_internal_peak"
"107"	"1.284.A."	"long_internal_peak"
"108"	"1.285.O."	"long_internal_peak"
"109"	"1.286.O."	"long_internal_peak"
"110"	"1.287.O."	"long_internal_peak"
"111"	"2.117.O."	"long_internal_peak"
"112"	"1.004.O."	"multiple_coverage_peaks"
"113"	"1.007.O."	"multiple_coverage_peaks"
"114"	"1.013.O."	"multiple_coverage_peaks"
"115"	"1.031.O."	"multiple_coverage_peaks"
"116"	"1.050.O."	"multiple_coverage_peaks"
"117"	"1.023.O."	"shifts_in_coverage"
"118"	"1.027.O."	"shifts_in_coverage"
"119"	"1.029.O."	"shifts_in_coverage"
"120"	"1.082.O."	"shifts_in_coverage"
"121"	"1.083.O."	"shifts_in_coverage"
"122"	"1.103.O."	"shifts_in_coverage"
"123"	"1.104.O."	"shifts_in_coverage"
"124"	"1.115.A."	"shifts_in_coverage"
"125"	"1.115.B."	"shifts_in_coverage"
"126"	"1.118.A."	"shifts_in_coverage"
"127"	"1.118.B."	"shifts_in_coverage"
"128"	"1.133.O."	"shifts_in_coverage"
"129"	"1.143.O."	"shifts_in_coverage"
"130"	"1.148.O."	"shifts_in_coverage"
"131"	"1.162.O."	"shifts_in_coverage"
"132"	"1.165.O."	"shifts_in_coverage"
"133"	"1.168.O."	"shifts_in_coverage"
"134"	"1.196.O."	"shifts_in_coverage"
"135"	"1.197.A."	"shifts_in_coverage"
"136"	"1.205.O."	"shifts_in_coverage"
"137"	"1.215.B."	"shifts_in_coverage"
"138"	"1.233.B."	"shifts_in_coverage"
"139"	"1.244.A."	"shifts_in_coverage"
"140"	"1.266.O."	"shifts_in_coverage"
"141"	"1.274.O."	"shifts_in_coverage"
"142"	"1.278.O."	"shifts_in_coverage"
"143"	"1.280.O."	"shifts_in_coverage"
"144"	"1.291.O."	"shifts_in_coverage"
"145"	"2.096.O."	"shifts_in_coverage"
"146"	"2.275.O."	"shifts_in_coverage"
"147"	"1.012.O."	"shifts_in_coverage"
"148"	"1.022.O."	"shifts_in_coverage"
"149"	"1.038.O."	"shifts_in_coverage"
"150"	"1.046.O."	"shifts_in_coverage"
"151"	"1.052.A."	"shifts_in_coverage"
"152"	"1.055.O."	"shifts_in_coverage"
"153"	"1.076.O."	"shifts_in_coverage"
"154"	"1.079.O."	"shifts_in_coverage"
"155"	"1.097.O."	"shifts_in_coverage"
"156"	"1.098.O."	"shifts_in_coverage"
"157"	"1.113.A."	"shifts_in_coverage"
"158"	"1.119.O."	"shifts_in_coverage"
"159"	"1.121.O."	"shifts_in_coverage"
"160"	"1.122.A."	"shifts_in_coverage"
"161"	"1.131.O."	"shifts_in_coverage"
"162"	"1.135.O."	"shifts_in_coverage"
"163"	"1.147.O."	"shifts_in_coverage"
"164"	"1.149.O."	"shifts_in_coverage"
"165"	"1.155.O."	"shifts_in_coverage"
"166"	"1.160.O."	"shifts_in_coverage"
"167"	"1.161.O."	"shifts_in_coverage"
"168"	"1.167.O."	"shifts_in_coverage"
"169"	"1.177.O."	"shifts_in_coverage"
"170"	"1.186.O."	"shifts_in_coverage"
"171"	"1.188.C."	"shifts_in_coverage"
"172"	"1.189.C."	"shifts_in_coverage"
"173"	"1.189.O."	"shifts_in_coverage"
"174"	"1.194.O."	"shifts_in_coverage"
"175"	"1.195.O."	"shifts_in_coverage"
"176"	"1.199.A."	"shifts_in_coverage"
"177"	"1.199.B."	"shifts_in_coverage"
"178"	"1.200.O."	"shifts_in_coverage"
"179"	"1.210.O."	"shifts_in_coverage"
"180"	"1.213.O."	"shifts_in_coverage"
"181"	"1.214.O."	"shifts_in_coverage"
"182"	"1.235.O."	"shifts_in_coverage"
"183"	"1.236.O."	"shifts_in_coverage"
"184"	"1.237.A."	"shifts_in_coverage"
"185"	"1.237.B."	"shifts_in_coverage"
"186"	"1.239.O."	"shifts_in_coverage"
"187"	"1.243.O."	"shifts_in_coverage"
"188"	"1.248.O."	"shifts_in_coverage"
"189"	"1.253.O."	"shifts_in_coverage"
"190"	"1.259.O."	"shifts_in_coverage"
"191"	"1.263.A."	"shifts_in_coverage"
