phage	family	subfamily	order
1.270.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.280.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.208.B.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.257.O.	 Bacteriophage PA11 	unclassified	 unclassified dsDNA phages
1.275.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.081.O.	 Myoviridae 	 Tevenvirinae	 Caudovirales 
1.214.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.235.O.	 Bacteriophage PA11 	unclassified	 unclassified dsDNA phages
1.141.A.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.098.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
